Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
03-10-2011,WIPRO,EQ,340.8,335,336.75,323.6,330,330.2,328.79,1277993,4.20E+13,21770,640664,0.5013
04-10-2011,WIPRO,EQ,330.2,326.55,338,325.35,336.7,333.55,332.41,1205540,4.01E+13,20743,549029,0.4554
05-10-2011,WIPRO,EQ,333.55,336.05,341.85,326,327.45,327.95,333.74,1345851,4.49E+13,23618,628916,0.4673
07-10-2011,WIPRO,EQ,327.95,338,345,330,334,333.8,338.5,1872134,6.34E+13,30936,1223621,0.6536
10-10-2011,WIPRO,EQ,333.8,335.05,350,334.3,349.25,348.9,341.45,763084,2.61E+13,16947,263228,0.345
11-10-2011,WIPRO,EQ,348.9,352.3,353.95,338.65,340.5,341.7,345.79,1068111,3.69E+13,22071,543201,0.5086
12-10-2011,WIPRO,EQ,341.7,347.05,358.7,347.05,351.4,350.55,353.11,2497908,8.82E+13,37188,1257391,0.5034
13-10-2011,WIPRO,EQ,350.55,353,355,348.5,350.5,349.5,351.62,971907,3.42E+13,18171,405260,0.417
14-10-2011,WIPRO,EQ,349.5,346.7,364.95,346.7,363.4,363.3,357.9,1659394,5.94E+13,29715,940590,0.5668
17-10-2011,WIPRO,EQ,363.3,364.05,366.4,354.75,357.15,356.8,360.26,1010473,3.64E+13,19965,512678,0.5074
18-10-2011,WIPRO,EQ,356.8,348.65,351.7,342.7,345.5,346.05,345.57,540511,1.87E+13,16457,181299,0.3354
19-10-2011,WIPRO,EQ,346.05,346.8,358.9,346.8,357.5,357.6,355.88,945720,3.37E+13,19622,497967,0.5265
20-10-2011,WIPRO,EQ,357.6,352.25,355.9,347,352.9,354.55,351.07,486759,1.71E+13,15040,155264,0.319
21-10-2011,WIPRO,EQ,354.55,356.4,358,350.25,356,354.05,355.21,615202,2.19E+13,19697,284629,0.4627
24-10-2011,WIPRO,EQ,354.05,357.05,365,355.7,357.9,358.1,360.22,652144,2.35E+13,15983,295180,0.4526
24-10-2011,WIPRO,EQ,354.05,357.05,365,355.7,357.9,358.1,360.22,652144,2.35E+13,15983,295180,0.4526
25-10-2011,WIPRO,EQ,358.1,360.55,381.95,354.2,368,372.15,366.32,2636230,9.66E+13,40316,1798037,0.682
26-10-2011,WIPRO,EQ,372.15,370.1,374.5,367.15,368.95,368.7,369.99,147473,5.46E+12,3535,46575,0.3158
28-10-2011,WIPRO,EQ,368.7,376.55,390,365.65,373.4,374.05,374.25,1698761,6.36E+13,34140,800415,0.4712
31-10-2011,WIPRO,EQ,374.05,375,385,363.4,367.4,366.6,376.41,3505449,1.32E+14,43545,1935706,0.5522
01-11-2011,WIPRO,EQ,366.6,367.75,374.9,364.95,373.25,372.05,371.63,1989482,7.39E+13,30412,1208487,0.6074
